"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"BOD1"	"ENSG00000145919"	"NULL"	"biorientation of chromosomes in cell division 1"	"NM_138369"
"BOD1L1"	"ENSG00000038219"	"NULL"	"biorientation of chromosomes in cell division 1 like 1"	"NM_148894"
"BOD1L2"	"ENSG00000228075"	"NULL"	"biorientation of chromosomes in cell division 1 like 2"	"NM_001257964"
"BOK"	"ENSG00000176720"	"BCL2 family"	"BCL2 family apoptosis regulator BOK"	"NM_032515"
"BOLA1"	"ENSG00000178096"	"NULL"	"bolA family member 1"	"NM_016074"
"BOLA2"	"ENSG00000183336"	"NULL"	"bolA family member 2"	"NM_001031827"
"BOLA2B"	"ENSG00000169627"	"NULL"	"bolA family member 2B"	"NM_001039182"
"BOLA3"	"ENSG00000163170"	"NULL"	"bolA family member 3"	"NM_212552"
"BOLL"	"ENSG00000152430"	"RNA binding motif containing;DAZ RNA binding protein family "	"boule homolog, RNA binding protein"	"NM_033030"
"BOP1"	"ENSG00000261236"	"WD repeat domain containing"	"block of proliferation 1"	"NM_015201"
"BORA"	"ENSG00000136122"	"NULL"	"bora, aurora kinase A activator"	"NM_024808"
"BORCS5"	"ENSG00000165714"	"BLOC-1 related complex"	"BLOC-1 related complex subunit 5"	"NM_001300742"
"BORCS6"	"ENSG00000196544"	"BLOC-1 related complex"	"BLOC-1 related complex subunit 6"	"NM_017622"
"BORCS7"	"ENSG00000166275"	"BLOC-1 related complex"	"BLOC-1 related complex subunit 7"	"NM_144591"
"BORCS8"	"ENSG00000254901"	"BLOC-1 related complex"	"BLOC-1 related complex subunit 8"	"NM_001145783"
"BPGM"	"ENSG00000172331"	"Phosphoglycerate mutases;Bisphosphoglycerate phosphatases"	"bisphosphoglycerate mutase"	"NM_001724"
"BPHL"	"ENSG00000137274"	"NULL"	"biphenyl hydrolase like"	"NM_001302777"
"BPI"	"ENSG00000101425"	"BPI fold containing"	"bactericidal permeability increasing protein"	"NM_001725"
"BPIFA1"	"ENSG00000198183"	"BPI fold containing"	"BPI fold containing family A member 1"	"NM_130852"
"BPIFA2"	"ENSG00000131050"	"BPI fold containing"	"BPI fold containing family A member 2"	"NM_080574"
"BPIFA3"	"ENSG00000131059"	"BPI fold containing"	"BPI fold containing family A member 3"	"NM_178466"
"BPIFB1"	"ENSG00000125999"	"BPI fold containing"	"BPI fold containing family B member 1"	"NM_033197"
"BPIFB2"	"ENSG00000078898"	"BPI fold containing"	"BPI fold containing family B member 2"	"NM_025227"
"BPIFB3"	"ENSG00000186190"	"BPI fold containing"	"BPI fold containing family B member 3"	"NM_182658"
"BPIFB4"	"ENSG00000186191"	"BPI fold containing"	"BPI fold containing family B member 4"	"NM_182519"
"BPIFB6"	"ENSG00000167104"	"BPI fold containing"	"BPI fold containing family B member 6"	"NM_174897"
"BPIFC"	"ENSG00000184459"	"BPI fold containing"	"BPI fold containing family C"	"NM_174932"
"BPNT1"	"ENSG00000162813"	"Phosphoinositide phosphatases"	"3'(2'), 5'-bisphosphate nucleotidase 1"	"NM_006085"
"BPTF"	"ENSG00000171634"	"PHD finger proteins;Bromodomain containing;NURF complex"	"bromodomain PHD finger transcription factor"	"NM_182641;NM_004459"
"BPY2"	"ENSG00000183753"	"NULL"	"basic charge Y-linked 2"	"NM_004678"
"BPY2B"	"ENSG00000183795"	"NULL"	"basic charge Y-linked 2B"	"NM_001002760"
"BPY2C"	"ENSG00000185894"	"NULL"	"basic charge Y-linked 2C"	"NM_001002761"
"BRAF"	"ENSG00000157764"	"Mitogen-activated protein kinase kinase kinases;RAF family"	"B-Raf proto-oncogene, serine/threonine kinase"	"NM_004333"
"BRAP"	"ENSG00000089234"	"Ring finger proteins"	"BRCA1 associated protein"	"NM_006768"
"BRAT1"	"ENSG00000106009"	"NULL"	"BRCA1 associated ATM activator 1"	"NM_152743"
"BRCA1"	"ENSG00000012048"	"Ring finger proteins;FA complementation groups;Protein phosphatase 1 regulatory subunits;BRCA1 A complex;BRCA1 B complex;BRCA1 C complex"	"BRCA1, DNA repair associated"	"NM_007294"
"BRCA2"	"ENSG00000139618"	"FA complementation groups"	"BRCA2, DNA repair associated"	"NM_000059"
"BRCC3"	"ENSG00000185515"	"BRCA1 A complex;BRISC complex"	"BRCA1/BRCA2-containing complex subunit 3"	"NM_024332"
"BRD1"	"ENSG00000100425"	"PHD finger proteins;PWWP domain containing;Bromodomain containing"	"bromodomain containing 1"	"NM_014577"
"BRD2"	"ENSG00000204256"	"Bromodomain containing, BET"	"bromodomain containing 2"	"NM_001113182"
"BRD3"	"ENSG00000169925"	"Bromodomain containing, BET"	"bromodomain containing 3"	"NM_007371"
"BRD3OS"	"ENSG00000235106"	"NULL"	"BRD3 opposite strand"	"NM_001355256"
"BRD4"	"ENSG00000141867"	"Bromodomain containing, BET"	"bromodomain containing 4"	"NM_058243"
"BRD7"	"ENSG00000166164"	"Bromodomain containing;PBAF complex"	"bromodomain containing 7"	"NM_013263"
"BRD8"	"ENSG00000112983"	"Bromodomain containing"	"bromodomain containing 8"	"NM_006696"
"BRD9"	"ENSG00000028310"	"Bromodomain containing;BAF complex;GBAF complex"	"bromodomain containing 9"	"NM_023924"
"BRDT"	"ENSG00000137948"	"Bromodomain containing, BET"	"bromodomain testis associated"	"NM_207189"
"BRF1"	"ENSG00000185024"	"General transcription factors"	"BRF1, RNA polymerase III transcription initiation factor subunit"	"NM_001519"
"BRF2"	"ENSG00000104221"	"NULL"	"BRF2, RNA polymerase III transcription initiation factor subunit"	"NM_018310"
"BRI3"	"ENSG00000164713"	"NULL"	"brain protein I3"	"NM_015379"
"BRI3BP"	"ENSG00000184992"	"NULL"	"BRI3 binding protein"	"NM_080626"
"BRICD5"	"ENSG00000182685"	"BRICHOS domain containing"	"BRICHOS domain containing 5"	"NM_182563"
"BRINP1"	"ENSG00000078725"	"NULL"	"BMP/retinoic acid inducible neural specific 1"	"NM_014618"
"BRINP2"	"ENSG00000198797"	"NULL"	"BMP/retinoic acid inducible neural specific 2"	"NM_021165"
"BRINP3"	"ENSG00000162670"	"NULL"	"BMP/retinoic acid inducible neural specific 3"	"NM_199051"
"BRIP1"	"ENSG00000136492"	"FA complementation groups;DNA helicases;BRCA1 B complex"	"BRCA1 interacting protein C-terminal helicase 1"	"NM_032043"
"BRIX1"	"ENSG00000113460"	"NULL"	"BRX1, biogenesis of ribosomes"	"NM_018321"
"BRK1"	"ENSG00000254999"	"NULL"	"BRICK1, SCAR/WAVE actin nucleating complex subunit"	"NM_018462"
"BRMS1"	"ENSG00000174744"	"NULL"	"BRMS1, transcriptional repressor and anoikis regulator"	"NM_015399"
"BRMS1L"	"ENSG00000100916"	"NULL"	"BRMS1 like transcriptional repressor"	"NM_032352"
"BROX"	"ENSG00000162819"	"NULL"	"BRO1 domain and CAAX motif containing"	"NM_144695"
"BRPF1"	"ENSG00000156983"	"PHD finger proteins;PWWP domain containing;Bromodomain containing"	"bromodomain and PHD finger containing 1"	"NM_001003694"
"BRPF3"	"ENSG00000096070"	"PHD finger proteins;PWWP domain containing;Bromodomain containing"	"bromodomain and PHD finger containing 3"	"NM_015695"
"BRS3"	"ENSG00000102239"	"Bombesin receptors"	"bombesin receptor subtype 3"	"NM_001727"
"BRSK1"	"ENSG00000160469"	"NULL"	"BR serine/threonine kinase 1"	"NM_032430"
"BRSK2"	"ENSG00000174672"	"NULL"	"BR serine/threonine kinase 2"	"NM_003957"
"BRWD1"	"ENSG00000185658"	"WD repeat domain containing;DDB1 and CUL4 associated factors;Bromodomain containing"	"bromodomain and WD repeat domain containing 1"	"NM_033656"
"BRWD3"	"ENSG00000165288"	"X-linked mental retardation;WD repeat domain containing;Bromodomain containing"	"bromodomain and WD repeat domain containing 3"	"NM_153252"
"BSCL2"	"ENSG00000168000"	"NULL"	"BSCL2, seipin lipid droplet biogenesis associated"	"NM_032667"
"BSDC1"	"ENSG00000160058"	"NULL"	"BSD domain containing 1"	"NM_018045"
"BSG"	"ENSG00000172270"	"Blood group antigens;CD molecules;I-set domain containing;Immunoglobulin like domain containing"	"basigin (Ok blood group)"	"NM_001728"
"BSN"	"ENSG00000164061"	"Zinc fingers"	"bassoon presynaptic cytomatrix protein"	"NM_003458"
"BSND"	"ENSG00000162399"	"Chloride voltage-gated channels;Deafness associated genes"	"barttin CLCNK type accessory beta subunit"	"NM_057176"
"BSPH1"	"ENSG00000188334"	"NULL"	"binder of sperm protein homolog 1"	"NM_001128326"
"BSPRY"	"ENSG00000119411"	"NULL"	"B-box and SPRY domain containing"	"NM_017688"
"BST1"	"ENSG00000109743"	"CD molecules"	"bone marrow stromal cell antigen 1"	"NM_004334"
"BST2"	"ENSG00000130303"	"CD molecules"	"bone marrow stromal cell antigen 2"	"NM_004335"
"BSX"	"ENSG00000188909"	"NKL subclass homeoboxes and pseudogenes"	"brain specific homeobox"	"NM_001098169"
"BTAF1"	"ENSG00000095564"	"Armadillo-like helical domain containing"	"B-TFIID TATA-box binding protein associated factor 1"	"NM_003972"
"BTBD1"	"ENSG00000064726"	"BTB domain containing"	"BTB domain containing 1"	"NM_001011885"
"BTBD2"	"ENSG00000133243"	"BTB domain containing"	"BTB domain containing 2"	"NM_017797"
"BTBD3"	"ENSG00000132640"	"BTB domain containing"	"BTB domain containing 3"	"NM_001282550"
"BTBD6"	"ENSG00000184887"	"BTB domain containing"	"BTB domain containing 6"	"NM_033271"
"BTBD7"	"ENSG00000011114"	"BTB domain containing"	"BTB domain containing 7"	"NM_001002860"
"BTBD8"	"ENSG00000189195"	"BTB domain containing"	"BTB domain containing 8"	"NM_183242"
"BTBD9"	"ENSG00000183826"	"BTB domain containing"	"BTB domain containing 9"	"NM_152733"
"BTBD10"	"ENSG00000148925"	"BTB domain containing"	"BTB domain containing 10"	"NM_032320"
"BTBD11"	"ENSG00000151136"	"Ankyrin repeat domain containing;BTB domain containing"	"BTB domain containing 11"	"NM_152322"
"BTBD16"	"ENSG00000138152"	"BTB domain containing"	"BTB domain containing 16"	"NM_144587"
"BTBD17"	"ENSG00000204347"	"BTB domain containing"	"BTB domain containing 17"	"NM_001080466"
"BTBD18"	"ENSG00000233436"	"BTB domain containing"	"BTB domain containing 18"	"NM_001145101"
"BTBD19"	"ENSG00000222009"	"BTB domain containing"	"BTB domain containing 19"	"NM_001136537"
"BTC"	"ENSG00000174808"	"NULL"	"betacellulin"	"NM_001316963"
"BTD"	"ENSG00000169814"	"NULL"	"biotinidase"	"NM_000060"
"BTF3"	"ENSG00000145741"	"NULL"	"basic transcription factor 3"	"NM_001207"
"BTF3L4"	"ENSG00000134717"	"NULL"	"basic transcription factor 3 like 4"	"NM_152265"
"BTG1"	"ENSG00000133639"	"BTG/Tob family"	"BTG anti-proliferation factor 1"	"NM_001731"
"BTG2"	"ENSG00000159388"	"BTG/Tob family"	"BTG anti-proliferation factor 2"	"NM_006763"
"BTG3"	"ENSG00000154640"	"BTG/Tob family"	"BTG anti-proliferation factor 3"	"NM_006806"
"BTG4"	"ENSG00000137707"	"BTG/Tob family"	"BTG anti-proliferation factor 4"	"NM_017589"
"BTK"	"ENSG00000010671"	"Pleckstrin homology domain containing;SH2 domain containing;Tec family tyrosine kinases"	"Bruton tyrosine kinase"	"NM_000061"
"BTLA"	"ENSG00000186265"	"CD molecules;Immunoglobulin like domain containing"	"B and T lymphocyte associated"	"NM_181780"
"BTN1A1"	"ENSG00000124557"	"Butyrophilins;V-set domain containing;C2-set domain containing"	"butyrophilin subfamily 1 member A1"	"NM_001732"
"BTN2A1"	"ENSG00000112763"	"Butyrophilins;V-set domain containing;C2-set domain containing"	"butyrophilin subfamily 2 member A1"	"NM_007049"
"BTN2A2"	"ENSG00000124508"	"Butyrophilins;V-set domain containing;C2-set domain containing"	"butyrophilin subfamily 2 member A2"	"NM_001197237"
"BTN3A1"	"ENSG00000026950"	"Butyrophilins;CD molecules;V-set domain containing;C2-set domain containing"	"butyrophilin subfamily 3 member A1"	"NM_001145008"
"BTN3A2"	"ENSG00000186470"	"Butyrophilins;V-set domain containing"	"butyrophilin subfamily 3 member A2"	"NM_001197246"
"BTN3A3"	"ENSG00000111801"	"Butyrophilins;V-set domain containing"	"butyrophilin subfamily 3 member A3"	"NM_006994"
"BTNL2"	"ENSG00000204290"	"Butyrophilins;V-set domain containing;C2-set domain containing"	"butyrophilin like 2"	"NM_019602"
"BTNL3"	"ENSG00000168903"	"Butyrophilins;V-set domain containing"	"butyrophilin like 3"	"NM_197975"
"BTNL8"	"ENSG00000113303"	"Butyrophilins;V-set domain containing"	"butyrophilin like 8"	"NM_024850"
"BTNL9"	"ENSG00000165810"	"Butyrophilins;V-set domain containing"	"butyrophilin like 9"	"NM_152547"
"BTRC"	"ENSG00000166167"	"WD repeat domain containing;F-box and WD repeat domain containing"	"beta-transducin repeat containing E3 ubiquitin protein ligase"	"NM_033637"
"BUB1"	"ENSG00000169679"	"NULL"	"BUB1 mitotic checkpoint serine/threonine kinase"	"NM_004336"
"BUB1B"	"ENSG00000156970"	"NULL"	"BUB1 mitotic checkpoint serine/threonine kinase B"	"NM_001211"
"BUB3"	"ENSG00000154473"	"WD repeat domain containing"	"BUB3, mitotic checkpoint protein"	"NM_001007793"
"BUD13"	"ENSG00000137656"	"NTC associated proteins;Spliceosomal P complex"	"BUD13 homolog"	"NM_032725"
"BUD23"	"ENSG00000071462"	"Seven-beta-strand methyltransferase motif containing"	"BUD23, rRNA methyltransferase and ribosome maturation factor"	"NM_001202560"
"BUD31"	"ENSG00000106245"	"NTC associated proteins;Spliceosomal B complex;Spliceosomal Bact complex;Spliceosomal C complex;Spliceosomal P complex"	"BUD31 homolog"	"NM_003910"
"BVES"	"ENSG00000112276"	"NULL"	"blood vessel epicardial substance"	"NM_147147"
"BYSL"	"ENSG00000112578"	"NULL"	"bystin like"	"NM_004053"
"BZW1"	"ENSG00000082153"	"NULL"	"basic leucine zipper and W2 domains 1"	"NM_014670"
"BZW2"	"ENSG00000136261"	"NULL"	"basic leucine zipper and W2 domains 2"	"NM_014038"
"C1D"	"ENSG00000197223"	"NULL"	"C1D nuclear receptor corepressor"	"NM_006333"
"C1GALT1"	"ENSG00000106392"	"Beta 3-glycosyltransferases"	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	"NM_020156"
"C1GALT1C1"	"ENSG00000171155"	"NULL"	"C1GALT1 specific chaperone 1"	"NM_152692"
"C1GALT1C1L"	"ENSG00000223658"	"NULL"	"C1GALT1 specific chaperone 1 like"	"NM_001101330"
"C1orf21"	"ENSG00000116667"	"NULL"	"chromosome 1 open reading frame 21"	"NM_030806"
"C1orf35"	"ENSG00000143793"	"NULL"	"chromosome 1 open reading frame 35"	"NM_024319"
"C1orf43"	"ENSG00000143612"	"NULL"	"chromosome 1 open reading frame 43"	"NM_015449"
"C1orf50"	"ENSG00000164008"	"NULL"	"chromosome 1 open reading frame 50"	"NM_024097"
"C1orf52"	"ENSG00000162642"	"NULL"	"chromosome 1 open reading frame 52"	"NM_198077"
"C1orf53"	"ENSG00000203724"	"NULL"	"chromosome 1 open reading frame 53"	"NM_001024594"
"C1orf54"	"ENSG00000118292"	"NULL"	"chromosome 1 open reading frame 54"	"NM_024579"
"C1orf56"	"ENSG00000143443"	"NULL"	"chromosome 1 open reading frame 56"	"NM_017860"
"C1orf61"	"ENSG00000125462"	"NULL"	"chromosome 1 open reading frame 61"	"NM_006365"
"C1orf68"	"ENSG00000198854"	"Late cornified envelope proteins"	"chromosome 1 open reading frame 68"	"NM_001024679"
"C1orf74"	"ENSG00000162757"	"NULL"	"chromosome 1 open reading frame 74"	"NM_152485"
"C1orf87"	"ENSG00000162598"	"NULL"	"chromosome 1 open reading frame 87"	"NM_152377"
"C1orf94"	"ENSG00000142698"	"NULL"	"chromosome 1 open reading frame 94"	"NM_032884"
"C1orf100"	"ENSG00000173728"	"NULL"	"chromosome 1 open reading frame 100"	"NM_001012970"
"C1orf105"	"ENSG00000180999"	"NULL"	"chromosome 1 open reading frame 105"	"NM_139240"
"C1orf109"	"ENSG00000116922"	"NULL"	"chromosome 1 open reading frame 109"	"NM_017850"
"C1orf112"	"ENSG00000000460"	"NULL"	"chromosome 1 open reading frame 112"	"NM_018186"
"C1orf115"	"ENSG00000162817"	"NULL"	"chromosome 1 open reading frame 115"	"NM_024709"
"C1orf116"	"ENSG00000182795"	"NULL"	"chromosome 1 open reading frame 116"	"NM_024115"
"C1orf122"	"ENSG00000197982"	"NULL"	"chromosome 1 open reading frame 122"	"NM_198446"
"C1orf123"	"ENSG00000162384"	"NULL"	"chromosome 1 open reading frame 123"	"NM_017887"
"C1orf127"	"ENSG00000175262"	"NULL"	"chromosome 1 open reading frame 127"	"NM_173507"
"C1orf131"	"ENSG00000143633"	"NULL"	"chromosome 1 open reading frame 131"	"NM_152379"
"C1orf141"	"ENSG00000203963"	"NULL"	"chromosome 1 open reading frame 141"	"NM_001013674"
"C1orf146"	"ENSG00000203910"	"NULL"	"chromosome 1 open reading frame 146"	"NM_001012425"
"C1orf158"	"ENSG00000157330"	"NULL"	"chromosome 1 open reading frame 158"	"NM_152290"
"C1orf159"	"ENSG00000131591"	"NULL"	"chromosome 1 open reading frame 159"	"NM_017891"
"C1orf162"	"ENSG00000143110"	"NULL"	"chromosome 1 open reading frame 162"	"NM_174896"
"C1orf167"	"ENSG00000215910"	"NULL"	"chromosome 1 open reading frame 167"	"NM_001010881"
"C1orf174"	"ENSG00000198912"	"NULL"	"chromosome 1 open reading frame 174"	"NM_207356"
"C1orf185"	"ENSG00000204006"	"NULL"	"chromosome 1 open reading frame 185"	"NM_001136508"
"C1orf189"	"ENSG00000163263"	"NULL"	"chromosome 1 open reading frame 189"	"NM_001010979"
"C1orf194"	"ENSG00000179902"	"NULL"	"chromosome 1 open reading frame 194"	"NM_001122961"
"C1orf198"	"ENSG00000119280"	"NULL"	"chromosome 1 open reading frame 198"	"NM_032800"
"C1orf210"	"ENSG00000253313"	"NULL"	"chromosome 1 open reading frame 210"	"NM_182517"
"C1orf216"	"ENSG00000142686"	"NULL"	"chromosome 1 open reading frame 216"	"NM_152374"
"C1orf226"	"ENSG00000239887"	"NULL"	"chromosome 1 open reading frame 226"	"NM_001085375"
"C1orf232"	"ENSG00000282872"	"NULL"	"chromosome 1 open reading frame 230"	"XM_024451426"
"C1QA"	"ENSG00000173372"	"Complement system activation components;C1q domain containing"	"complement C1q A chain"	"NM_015991"
"C1QB"	"ENSG00000173369"	"Complement system activation components;C1q domain containing"	"complement C1q B chain"	"NM_000491"
"C1QBP"	"ENSG00000108561"	"NULL"	"complement C1q binding protein"	"NM_001212"
"C1QC"	"ENSG00000159189"	"Complement system activation components;C1q domain containing"	"complement C1q C chain"	"NM_172369"
"C1QL1"	"ENSG00000131094"	"C1q and TNF related "	"complement C1q like 1"	"NM_006688"
"C1QL2"	"ENSG00000144119"	"C1q and TNF related "	"complement C1q like 2"	"NM_182528"
"C1QL3"	"ENSG00000165985"	"C1q and TNF related "	"complement C1q like 3"	"XM_372305"
"C1QL4"	"ENSG00000186897"	"C1q and TNF related "	"complement C1q like 4"	"NM_001008223"
"C1QTNF1"	"ENSG00000173918"	"C1q and TNF related "	"C1q and TNF related 1"	"NM_030968"
"C1QTNF2"	"ENSG00000145861"	"C1q and TNF related "	"C1q and TNF related 2"	"NM_031908"
"C1QTNF3"	"ENSG00000082196"	"C1q and TNF related "	"C1q and TNF related 3"	"NM_030945"
"C1QTNF4"	"ENSG00000172247"	"C1q and TNF related "	"C1q and TNF related 4"	"NM_031909"
"C1QTNF5"	"ENSG00000223953"	"C1q and TNF related "	"C1q and TNF related 5"	"NM_015645"
"C1QTNF6"	"ENSG00000133466"	"C1q and TNF related "	"C1q and TNF related 6"	"NM_182486"
"C1QTNF7"	"ENSG00000163145"	"C1q and TNF related "	"C1q and TNF related 7"	"NM_001135170"
"C1QTNF8"	"ENSG00000184471"	"C1q and TNF related "	"C1q and TNF related 8"	"NM_207419"
"C1QTNF9"	"ENSG00000240654"	"C1q and TNF related "	"C1q and TNF related 9"	"NM_178540"
"C1QTNF9B"	"ENSG00000205863"	"C1q and TNF related "	"C1q and TNF related 9B"	"NM_001007537"
"C1QTNF12"	"ENSG00000184163"	"C1q and TNF related "	"C1q and TNF related 12"	"XM_371208"
"C1R"	"ENSG00000159403"	"Sushi domain containing;Complement system activation components"	"complement C1r"	"NM_001733"
"C1RL"	"ENSG00000139178"	"Sushi domain containing"	"complement C1r subcomponent like"	"NM_016546"
"C1S"	"ENSG00000182326"	"Sushi domain containing;Complement system activation components"	"complement C1s"	"NM_001734"
"C2"	"ENSG00000166278"	"Sushi domain containing;Complement system activation components"	"complement C2"	"NM_000063"
"C2CD2"	"ENSG00000157617"	"C2 domain containing"	"C2 calcium dependent domain containing 2"	"NM_015500"
"C2CD2L"	"ENSG00000172375"	"NULL"	"C2CD2 like"	"NM_014807"
"C2CD3"	"ENSG00000168014"	"C2 domain containing"	"C2 calcium dependent domain containing 3"	"NM_015531"
"C2CD4A"	"ENSG00000198535"	"C2 domain containing"	"C2 calcium dependent domain containing 4A"	"NM_207322"
"C2CD4B"	"ENSG00000205502"	"C2 domain containing"	"C2 calcium dependent domain containing 4B"	"NM_001007595"
"C2CD4C"	"ENSG00000183186"	"C2 domain containing"	"C2 calcium dependent domain containing 4C"	"NM_001136263"
"C2CD4D"	"ENSG00000225556"	"C2 domain containing"	"C2 calcium dependent domain containing 4D"	"NM_001136003"
"C2CD5"	"ENSG00000111731"	"C2 domain containing"	"C2 calcium dependent domain containing 5"	"NM_014802"
"C2CD6"	"ENSG00000155754"	"C2 domain containing"	"C2 calcium dependent domain containing 6"	"NM_152525"
"C2orf15"	"ENSG00000273045"	"NULL"	"chromosome 2 open reading frame 15"	"NM_144706"
"C2orf16"	"ENSG00000221843"	"NULL"	"chromosome 2 open reading frame 16"	"NM_032266"
"C2orf40"	"ENSG00000119147"	"NULL"	"chromosome 2 open reading frame 40"	"NM_032411"
"C2orf42"	"ENSG00000115998"	"NULL"	"chromosome 2 open reading frame 42"	"NM_017880"
"C2orf49"	"ENSG00000135974"	"tRNA splicing ligase complex"	"chromosome 2 open reading frame 49"	"NM_024093"
"C2orf50"	"ENSG00000150873"	"NULL"	"chromosome 2 open reading frame 50"	"NM_182500"
"C2orf66"	"ENSG00000187944"	"NULL"	"chromosome 2 open reading frame 66"	"NM_213608"
"C2orf68"	"ENSG00000168887"	"NULL"	"chromosome 2 open reading frame 68"	"NM_001013649"
"C2orf69"	"ENSG00000178074"	"NULL"	"chromosome 2 open reading frame 69"	"NM_153689"
"C2orf70"	"ENSG00000173557"	"NULL"	"chromosome 2 open reading frame 70"	"NM_001105519"
"C2orf72"	"ENSG00000204128"	"NULL"	"chromosome 2 open reading frame 72"	"NM_001144994"
"C2orf73"	"ENSG00000177994"	"NULL"	"chromosome 2 open reading frame 73"	"NM_001100396"
"C2orf74"	"ENSG00000237651"	"NULL"	"chromosome 2 open reading frame 74"	"NM_001143959"
"C2orf76"	"ENSG00000186132"	"NULL"	"chromosome 2 open reading frame 76"	"NM_001017927"
"C2orf78"	"ENSG00000187833"	"NULL"	"chromosome 2 open reading frame 78"	"NM_001080474"
"C2orf80"	"ENSG00000188674"	"NULL"	"chromosome 2 open reading frame 80"	"NM_001099334"
"C2orf81"	"ENSG00000284308"	"NULL"	"chromosome 2 open reading frame 81"	"NM_001145054"
"C2orf83"	"ENSG00000042304"	"NULL"	"chromosome 2 open reading frame 83"	"NM_020161"
"C2orf88"	"ENSG00000187699"	"A-kinase anchoring proteins"	"chromosome 2 open reading frame 88"	"NM_032321"
"C2orf91"	"ENSG00000205086"	"NULL"	"chromosome 2 open reading frame 91"	"NM_001242815"
"C2orf92"	"ENSG00000228486"	"NULL"	"chromosome 2 open reading frame 92"	"NM_001351368"
"C3"	"ENSG00000125730"	"Endogenous ligands;C3 and PZP like, alpha-2-macroglobulin domain containing;Complement system activation components"	"complement C3"	"NM_000064"
"C3AR1"	"ENSG00000171860"	"Complement component GPCRs;Complement system regulators and receptors"	"complement C3a receptor 1"	"NM_004054"
"C3orf14"	"ENSG00000114405"	"NULL"	"chromosome 3 open reading frame 14"	"NM_020685"
"C3orf18"	"ENSG00000088543"	"NULL"	"chromosome 3 open reading frame 18"	"NM_016210"
"C3orf20"	"ENSG00000131379"	"NULL"	"chromosome 3 open reading frame 20"	"NM_032137"
"C3orf22"	"ENSG00000180697"	"NULL"	"chromosome 3 open reading frame 22"	"NM_152533"
"C3orf30"	"ENSG00000163424"	"NULL"	"chromosome 3 open reading frame 30"	"NM_152539"
"C3orf33"	"ENSG00000174928"	"NULL"	"chromosome 3 open reading frame 33"	"NM_173657"
"C3orf35"	"ENSG00000198590"	"NULL"	"chromosome 3 open reading frame 35"	"NM_178338"
"C3orf36"	"ENSG00000221972"	"NULL"	"chromosome 3 open reading frame 36"	"NM_025041"
"C3orf38"	"ENSG00000179021"	"NULL"	"chromosome 3 open reading frame 38"	"NM_173824"
"C3orf49"	"ENSG00000163632"	"NULL"	"chromosome 3 open reading frame 49"	"NM_001355236"
"C3orf52"	"ENSG00000114529"	"NULL"	"chromosome 3 open reading frame 52"	"NM_024616"
"C3orf56"	"ENSG00000214324"	"NULL"	"chromosome 3 open reading frame 56"	"NM_001007534"
"C3orf62"	"ENSG00000188315"	"NULL"	"chromosome 3 open reading frame 62"	"NM_198562"
"C3orf67"	"ENSG00000163689"	"NULL"	"chromosome 3 open reading frame 67"	"NM_198463"
"C3orf70"	"ENSG00000187068"	"NULL"	"chromosome 3 open reading frame 70"	"NM_001025266"
"C3orf80"	"ENSG00000180044"	"NULL"	"chromosome 3 open reading frame 80"	"NM_001168214"
"C3orf84"	"ENSG00000236980"	"NULL"	"chromosome 3 open reading frame 84"	"NM_001080528"
"C3orf85"	"ENSG00000241224"	"NULL"	"chromosome 3 open reading frame 85"	"NM_001351622"
"C4A"	"ENSG00000244731"	"Blood group antigens;C3 and PZP like, alpha-2-macroglobulin domain containing;Complement system activation components"	"complement C4A (Rodgers blood group)"	"NM_007293"
"C4B"	"ENSG00000224389"	"Blood group antigens;C3 and PZP like, alpha-2-macroglobulin domain containing;Complement system activation components"	"complement C4B (Chido blood group)"	"NM_001002029"
"C4BPA"	"ENSG00000123838"	"Sushi domain containing;Complement system regulators and receptors"	"complement component 4 binding protein alpha"	"NM_000715"
"C4BPB"	"ENSG00000123843"	"Sushi domain containing;Complement system regulators and receptors"	"complement component 4 binding protein beta"	"NM_000716"
"C4orf3"	"ENSG00000164096"	"NULL"	"chromosome 4 open reading frame 3"	"NM_001001701"
"C4orf17"	"ENSG00000138813"	"NULL"	"chromosome 4 open reading frame 17"	"NM_032149"
"C4orf19"	"ENSG00000154274"	"NULL"	"chromosome 4 open reading frame 19"	"NM_018302"
"C4orf33"	"ENSG00000151470"	"NULL"	"chromosome 4 open reading frame 33"	"NM_173487"
"C4orf36"	"ENSG00000163633"	"NULL"	"chromosome 4 open reading frame 36"	"NM_144645"
"C4orf45"	"ENSG00000164123"	"NULL"	"chromosome 4 open reading frame 45"	"NM_152543"
"C4orf46"	"ENSG00000205208"	"NULL"	"chromosome 4 open reading frame 46"	"NM_001008393"
"C4orf47"	"ENSG00000205129"	"NULL"	"chromosome 4 open reading frame 47"	"NM_001114357"
"C4orf48"	"ENSG00000243449"	"NULL"	"chromosome 4 open reading frame 48"	"NM_001141936"
"C4orf50"	"ENSG00000181215"	"NULL"	"chromosome 4 open reading frame 50"	"NM_207405"
"C4orf51"	"ENSG00000237136"	"NULL"	"chromosome 4 open reading frame 51"	"NM_001080531"
"C4orf54"	"ENSG00000248713"	"NULL"	"chromosome 4 open reading frame 54"	"NM_001354435"
