"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"FPGT-TNNI3K"	"ENSG00000259030"	"Ankyrin repeat domain containing"	"FPGT-TNNI3K readthrough"	"NM_001112808"
"FRA1A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p36)"	"NULL"
"FRA1B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p32)"	"NULL"
"FRA1C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p31.2)"	"NULL"
"FRA1D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p22)"	"NULL"
"FRA1E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p21.2)"	"NULL"
"FRA1F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(q21)"	"NULL"
"FRA1G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(q25.1)"	"NULL"
"FRA1H"	NA	"NULL"	"fragile site, 5-azacytidine type, common, fra(1)(q42)"	"NULL"
"FRA1I"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(q44)"	"NULL"
"FRA1J"	NA	"NULL"	"fragile site, 5-azacytidine type, common, fra(1)(q12)"	"NULL"
"FRA1K"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(q31)"	"NULL"
"FRA1L"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(1)(p31)"	"NULL"
"FRA1M"	NA	"NULL"	"fragile site, folic acid type, rare, fra(1)(p21.3)"	"NULL"
"FRA2A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(2)(q11.2)"	"NULL"
"FRA2B"	NA	"NULL"	"fragile site, folic acid type, rare, fra(2)(q13)"	"NULL"
"FRA2C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(p24.2)"	"NULL"
"FRA2D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(p16.2)"	"NULL"
"FRA2E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(p13)"	"NULL"
"FRA2F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(q21.3)"	"NULL"
"FRA2G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(q31)"	"NULL"
"FRA2H"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(q32.1)"	"NULL"
"FRA2I"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(q33)"	"NULL"
"FRA2J"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(2)(q37.3)"	"NULL"
"FRA2K"	NA	"NULL"	"fragile site, folic acid type, rare, fra(2)(q22.3)"	"NULL"
"FRA3A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(3)(p24.2)"	"NULL"
"FRA3B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(3)(p14.2)"	"NULL"
"FRA3C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(3)(q27)"	"NULL"
"FRA3D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(3)(q25)"	"NULL"
"FRA4A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(4)(p16.1)"	"NULL"
"FRA4B"	NA	"NULL"	"fragile site, BrdU type, common, fra(4)(q12)"	"NULL"
"FRA4C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(4)(q31.1)"	"NULL"
"FRA4D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(4)(p15)"	"NULL"
"FRA5A"	NA	"NULL"	"fragile site, BrdU type, common, fra(5)(p13)"	"NULL"
"FRA5B"	NA	"NULL"	"fragile site, BrdU type, common, fra(5)(q15)"	"NULL"
"FRA5C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(5)(q31.1)"	"NULL"
"FRA5D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(5)(q15)"	"NULL"
"FRA5E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(5)(p14)"	"NULL"
"FRA5F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(5)(q21)"	"NULL"
"FRA5G"	NA	"NULL"	"fragile site, folic acid type, rare, fra(5)(q35)"	"NULL"
"FRA6A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(6)(p23)"	"NULL"
"FRA6B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(6)(p25.1)"	"NULL"
"FRA6C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(6)(p22.2)"	"NULL"
"FRA6D"	NA	"NULL"	"fragile site, BrdU type, common, fra(6)(q13)"	"NULL"
"FRA6E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(6)(q26)"	"NULL"
"FRA6F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(6)(q21)"	"NULL"
"FRA6G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(6)(q15)"	"NULL"
"FRA7A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(7)(p11.2)"	"NULL"
"FRA7B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(p22)"	"NULL"
"FRA7C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(p14.2)"	"NULL"
"FRA7D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(p13)"	"NULL"
"FRA7E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q21.2)"	"NULL"
"FRA7F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q22)"	"NULL"
"FRA7G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q31.2)"	"NULL"
"FRA7H"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q32.3)"	"NULL"
"FRA7I"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q36)"	"NULL"
"FRA7J"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(7)(q11)"	"NULL"
"FRA8A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(8)(q22.3)"	"NULL"
"FRA8B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(8)(q22.1)"	"NULL"
"FRA8C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(8)(q24.1)"	"NULL"
"FRA8D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(8)(q24.3)"	"NULL"
"FRA8E"	NA	"NULL"	"fragile site, distamycin A type, rare, fra(8)(q24.1)"	"NULL"
"FRA9A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(9)(p21)"	"NULL"
"FRA9B"	NA	"NULL"	"fragile site, folic acid type, rare, fra(9)(q32)"	"NULL"
"FRA9C"	NA	"NULL"	"fragile site, BrdU type, common, fra(9)(p21)"	"NULL"
"FRA9D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(9)(q22.1)"	"NULL"
"FRA9E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(9)(q32)"	"NULL"
"FRA9F"	NA	"NULL"	"fragile site, 5-azacytidine type, common, fra(9)(q12)"	"NULL"
"FRA10A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2)"	"NULL"
"FRA10B"	NA	"NULL"	"fragile site, BrdU type, rare, fra(10)(q25.2)"	"NULL"
"FRA10C"	NA	"NULL"	"fragile site, BrdU type, common, fra(10)(q21)"	"NULL"
"FRA10D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(10)(q22.1)"	"NULL"
"FRA10E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(10)(q25.2)"	"NULL"
"FRA10F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(10)(q26.1)"	"NULL"
"FRA10G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(10)(q11.2)"	"NULL"
"FRA11A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(11)(q13.3)"	"NULL"
"FRA11B"	NA	"NULL"	"fragile site, folic acid type, rare, fra(11)(q23.3)"	"NULL"
"FRA11C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(p15.1)"	"NULL"
"FRA11D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(p14.2)"	"NULL"
"FRA11E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(p13)"	"NULL"
"FRA11F"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(q14.2)"	"NULL"
"FRA11G"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(q23.3)"	"NULL"
"FRA11H"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(11)(q13)"	"NULL"
"FRA11I"	NA	"NULL"	"fragile site, distamycin A type, rare, fra(11)(p15.1)"	"NULL"
"FRA12A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(12)(q13.1)"	"NULL"
"FRA12B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(12)(q21.3)"	"NULL"
"FRA12C"	NA	"NULL"	"fragile site, BrdU type, rare, fra(12)(q24.2)"	"NULL"
"FRA12D"	NA	"NULL"	"fragile site, folic acid type, rare, fra(12)(q24.13)"	"NULL"
"FRA12E"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(12)(q24)"	"NULL"
"FRA13A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(13)(q13.2)"	"NULL"
"FRA13B"	NA	"NULL"	"fragile site, BrdU type, common, fra(13)(q21)"	"NULL"
"FRA13C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(13)(q21.2)"	"NULL"
"FRA13D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(13)(q32)"	"NULL"
"FRA14B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(14)(q23)"	"NULL"
"FRA14C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(14)(q24.1)"	"NULL"
"FRA15A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(15)(q22)"	"NULL"
"FRA16A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(16)(p13.11)"	"NULL"
"FRA16B"	NA	"NULL"	"fragile site, distamycin A type, rare, fra(16)(q22.1)"	"NULL"
"FRA16C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(16)(q22.1)"	"NULL"
"FRA16D"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(16)(q23.2)"	"NULL"
"FRA16E"	NA	"NULL"	"fragile site, distamycin A type, rare, fra(16)(p12.1)"	"NULL"
"FRA17A"	NA	"NULL"	"fragile site, distamycin A type, rare, fra(17)(p12)"	"NULL"
"FRA17B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(17)(q23.1)"	"NULL"
"FRA18A"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(18)(q12.2)"	"NULL"
"FRA18B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(18)(q21.3)"	"NULL"
"FRA18C"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(18)(q22.2)"	"NULL"
"FRA19A"	NA	"NULL"	"fragile site, 5-azacytidine type, common, fra(19)(q13)"	"NULL"
"FRA19B"	NA	"NULL"	"fragile site, folic acid type, rare, fra(19)(p13)"	"NULL"
"FRA20A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(20)(p11.23)"	"NULL"
"FRA20B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(20)(p12.2)"	"NULL"
"FRA22A"	NA	"NULL"	"fragile site, folic acid type, rare, fra(22)(q13)"	"NULL"
"FRA22B"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(22)(q12.2)"	"NULL"
"FRAXA"	NA	"NULL"	"fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)"	"NULL"
"FRAXB"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(X)(p22.31) B"	"NULL"
"FRAXC"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(X)(q22.1) C"	"NULL"
"FRAXD"	NA	"NULL"	"fragile site, aphidicolin type, common, fra(X)(q27.2) D"	"NULL"
"FRAXE"	NA	"NULL"	"fragile site, folic acid type, rare, fra(X)(q28) E"	"NULL"
"FRAXF"	NA	"NULL"	"fragile site, folic acid type, rare, fra(X)(q28) F"	"NULL"
"FTH1P18"	"ENSG00000243048"	"NULL"	"ferritin heavy chain 1 pseudogene 18"	"NG_008265"
"FXYD6-FXYD2"	"ENSG00000255245"	"NULL"	"FXYD6-FXYD2 readthrough"	"NM_001204268"
"G6PR"	NA	"NULL"	"glucose-6-phosphatase regulator"	"NULL"
"GAGE4"	NA	"NULL"	"G antigen 4"	"NM_001474"
"GAGE5"	NA	"NULL"	"G antigen 5"	"NM_001475"
"GAGE6"	NA	"NULL"	"G antigen 6"	"NM_001476"
"GAGE7"	NA	"NULL"	"G antigen 7"	"NM_021123"
"GAGE8"	NA	"NULL"	"G antigen 8"	"NM_012196"
"GCOM1"	"ENSG00000137878"	"NULL"	"GRINL1A complex locus 1"	"NM_001018090"
"GIMAP1-GIMAP5"	"ENSG00000281887"	"NULL"	"GIMAP1-GIMAP5 readthrough"	"NM_001199577"
"GMFA"	NA	"NULL"	"glia maturation factor alpha"	"NULL"
"GOLGA6L3"	"ENSG00000188388"	"NULL"	"golgin A6 family-like 3"	"XM_002343391"
"GPR36"	NA	"NULL"	"G protein-coupled receptor 36"	"NULL"
"GPR75-ASB3"	"ENSG00000270898"	"NULL"	"GPR75-ASB3 readthrough"	"NM_001164165"
"GTSCR1"	"ENSG00000263417"	"NULL"	"Gilles de la Tourette syndrome chromosome region, candidate 1"	"NM_001278515"
"GUK2"	NA	"NULL"	"guanylate kinase 2"	"NULL"
"HIST2H3PS2"	"ENSG00000203818"	"Histones"	"histone cluster 2 H3 pseudogene 2"	"NG_012783"
"HLA-DQB3"	"ENSG00000226030"	"Histocompatibility complex"	"major histocompatibility complex, class II, DQ beta 3"	"NULL"
"HNRNPA1P48"	"ENSG00000224578"	"NULL"	"heterogeneous nuclear ribonucleoprotein A1 pseudogene 48"	"NG_005530"
"HNRNPUL2-BSCL2"	"ENSG00000234857"	"NULL"	"HNRNPUL2-BSCL2 readthrough (NMD candidate)"	"NR_037946"
"HOXA@"	NA	"NULL"	"homeobox A cluster"	"NULL"
"HOXB@"	NA	"NULL"	"homeobox B cluster"	"NULL"
"HOXC@"	NA	"NULL"	"homeobox C cluster"	"NULL"
"HOXD@"	NA	"NULL"	"homeobox D cluster"	"NULL"
"HPV6AI1"	NA	"NULL"	"human papillomavirus (type 6a) integration site 1"	"NULL"
"HPV18I1"	NA	"NULL"	"human papillomavirus (type 18) integration site 1"	"NULL"
"HPV18I2"	NA	"NULL"	"human papillomavirus (type 18) integration site 2"	"NULL"
"HRES1"	NA	"NULL"	"HTLV-1 related endogenous sequence"	"NULL"
"HSPB2-C11orf52"	"ENSG00000254445"	"NULL"	"HSPB2-C11orf52 readthrough (NMD candidate)"	"NR_037651.1"
"HSPE1-MOB4"	"ENSG00000270757"	"NULL"	"HSPE1-MOB4 readthrough"	"NM_001202485"
"HTOR"	NA	"NULL"	"5-hydroxytryptamine (serotonin) oxygenase regulator"	"NULL"
"HVBS7"	NA	"NULL"	"hepatitis B virus integration site 7"	"NULL"
"HVBS8"	NA	"NULL"	"hepatitis B virus integration site 8"	"NULL"
"IFNR"	NA	"NULL"	"interferon production regulator"	"NULL"
"IGHA1"	"ENSG00000211895"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant alpha 1"	"NG_001019"
"IGHA2"	"ENSG00000211890"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant alpha 2 (A2m marker)"	"NG_001019"
"IGHD"	"ENSG00000211898"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant delta"	"NG_001019"
"IGHD1-1"	"ENSG00000236170"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 1-1"	"NG_001019"
"IGHD1-7"	"ENSG00000237197"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 1-7"	"NG_001019"
"IGHD1-14"	"ENSG00000227108"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 1-14 (non-functional)"	"NG_001019"
"IGHD1-20"	"ENSG00000237020"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 1-20"	"NG_001019"
"IGHD1-26"	"ENSG00000211907"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 1-26"	"NG_001019"
"IGHD1OR15-1A"	"ENSG00000271336"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 1/OR15-1A (non-functional)"	"NULL"
"IGHD1OR15-1B"	"ENSG00000270185"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 1/OR15-1B (non-functional)"	"NULL"
"IGHD2-2"	"ENSG00000211931"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 2-2"	"NG_001019"
"IGHD2-8"	"ENSG00000211925"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 2-8"	"NG_001019"
"IGHD2-15"	"ENSG00000211918"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 2-15"	"NG_001019"
"IGHD2-21"	"ENSG00000211912"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 2-21"	"NG_001019"
"IGHD2OR15-2A"	"ENSG00000282599"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 2/OR15-2A (non-functional)"	"NULL"
"IGHD2OR15-2B"	"ENSG00000282268"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 2/OR15-2B (non-functional)"	"NULL"
"IGHD3-3"	"ENSG00000211930"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 3-3"	"NG_001019"
"IGHD3-9"	"ENSG00000211924"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 3-9"	"NG_001019"
"IGHD3-10"	"ENSG00000211923"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 3-10"	"NG_001019"
"IGHD3-16"	"ENSG00000211917"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 3-16"	"NG_001019"
"IGHD3-22"	"ENSG00000211911"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 3-22"	"NG_001019"
"IGHD3OR15-3A"	"ENSG00000282520"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 3/OR15-3A (non-functional)"	"NULL"
"IGHD3OR15-3B"	"ENSG00000282089"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 3/OR15-3B (non-functional)"	"NULL"
"IGHD4-4"	"ENSG00000233655"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 4-4"	"NG_001019"
"IGHD4-11"	"ENSG00000232543"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 4-11 (non-functional)"	"NG_001019"
"IGHD4-17"	"ENSG00000227800"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 4-17"	"NG_001019"
"IGHD4-23"	"ENSG00000227196"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 4-23 (non-functional)"	"NG_001019"
"IGHD4OR15-4A"	"ENSG00000271317"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 4/OR15-4A (non-functional)"	"NULL"
"IGHD4OR15-4B"	"ENSG00000270451"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 4/OR15-4B (non-functional)"	"NULL"
"IGHD5-5"	"ENSG00000211928"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 5-5"	"NG_001019"
"IGHD5-12"	"ENSG00000211921"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 5-12"	"NG_001019"
"IGHD5-18"	"ENSG00000211915"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 5-18"	"NG_001019"
"IGHD5-24"	"ENSG00000211909"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 5-24 (non-functional)"	"NG_001019"
"IGHD5OR15-5A"	"ENSG00000270961"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 5/OR15-5A (non-functional)"	"NULL"
"IGHD5OR15-5B"	"ENSG00000270824"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy diversity 5/OR15-5B (non-functional)"	"NULL"
"IGHD6-6"	"ENSG00000228131"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 6-6"	"NG_001019"
"IGHD6-13"	"ENSG00000211920"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 6-13"	"NG_001019"
"IGHD6-19"	"ENSG00000211914"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 6-19"	"NG_001019"
"IGHD6-25"	"ENSG00000225825"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 6-25"	"NG_001019"
"IGHD7-27"	"ENSG00000236597"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy diversity 7-27"	"NG_001019"
"IGHE"	"ENSG00000211891"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant epsilon"	"NG_001019"
"IGHG1"	"ENSG00000211896"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant gamma 1 (G1m marker)"	"NG_001019"
"IGHG2"	"ENSG00000211893"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant gamma 2 (G2m marker)"	"NG_001019"
"IGHG3"	"ENSG00000211897"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant gamma 3 (G3m marker)"	"NG_001019"
"IGHG4"	"ENSG00000211892"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant gamma 4 (G4m marker)"	"NG_001019"
"IGHGP"	"ENSG00000253755"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant gamma P (non-functional)"	"NG_001019"
"IGHJ1"	"ENSG00000211905"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 1"	"NG_001019"
"IGHJ2"	"ENSG00000211904"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 2"	"NG_001019"
"IGHJ3"	"ENSG00000242887"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 3"	"NG_001019"
"IGHJ4"	"ENSG00000240041"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 4"	"NG_001019"
"IGHJ5"	"ENSG00000242472"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 5"	"NG_001019"
"IGHJ6"	"ENSG00000211900"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy joining 6"	"NG_001019"
"IGHM"	"ENSG00000211899"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy constant mu"	"NG_001019"
"IGHV1-2"	"ENSG00000211934"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-2"	"NG_001019"
"IGHV1-3"	"ENSG00000211935"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-3"	"NG_001019"
"IGHV1-8"	NA	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-8"	"NG_001019"
"IGHV1-18"	"ENSG00000211945"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-18"	"NG_001019"
"IGHV1-24"	"ENSG00000211950"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-24"	"NG_001019"
"IGHV1-38-4"	NA	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-38-4 (non-functional)"	"NULL"
"IGHV1-45"	"ENSG00000211961"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-45"	"NG_001019"
"IGHV1-46"	"ENSG00000211962"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-46"	"NG_001019"
"IGHV1-58"	"ENSG00000211968"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-58"	"NG_001019"
"IGHV1-69"	"ENSG00000211973"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-69"	"NG_001019"
"IGHV1-69-2"	"ENSG00000281990"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-69-2"	"NG_001019"
"IGHV1-69D"	"ENSG00000280411"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 1-69D"	"NG_001019"
"IGHV1OR15-1"	"ENSG00000270505"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy variable 1/OR15-1 (non-functional)"	"NR_135694"
"IGHV1OR15-5"	NA	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy variable 1/OR15-5 (non-functional)"	"NG_016978"
"IGHV1OR15-9"	"ENSG00000188403"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy variable 1/OR15-9 (non-functional)"	"NG_032069"
"IGHV1OR21-1"	"ENSG00000277282"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy variable 1/OR21-1 (non-functional)"	"NG_011680"
"IGHV2-5"	"ENSG00000211937"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 2-5"	"NG_001019"
"IGHV2-26"	"ENSG00000211951"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 2-26"	"NG_001019"
"IGHV2-70"	"ENSG00000274576"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 2-70"	"NG_001019"
"IGHV2-70D"	"ENSG00000211974"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 2-70D"	"NG_001019"
"IGHV2OR16-5"	"ENSG00000259303"	"Immunoglobulin heavy (IGH) orphons"	"immunoglobulin heavy variable 2/OR16-5 (non-functional)"	"NULL"
"IGHV3-7"	"ENSG00000211938"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-7"	"NG_001019"
"IGHV3-9"	NA	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-9"	"NG_001019"
"IGHV3-11"	"ENSG00000211941"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-11 (gene/pseudogene)"	"NG_001019"
"IGHV3-13"	"ENSG00000211942"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-13"	"NG_001019"
"IGHV3-15"	"ENSG00000211943"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-15"	"NG_001019"
"IGHV3-16"	"ENSG00000211944"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-16 (non-functional)"	"NG_001019"
"IGHV3-20"	"ENSG00000211946"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-20"	"NG_001019"
"IGHV3-21"	"ENSG00000211947"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-21"	"NG_001019"
"IGHV3-23"	"ENSG00000211949"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-23"	"NG_001019"
"IGHV3-30"	"ENSG00000270550"	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-30"	"NG_001019"
"IGHV3-30-3"	NA	"Immunoglobulin heavy locus at 14q32.33"	"immunoglobulin heavy variable 3-30-3"	"NULL"
